Tissue,Cancer type,HSP,HSP,GTEX,TCGA
Adrenal Gland,ACC,DNAJB12,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJB12,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJB13,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB13,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJB13,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJB13,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJB13,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJB13,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJB13,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJB13,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJB13,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJB14,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB14,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJB14,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJB14,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJB14,DNAJA3,Sig,Sig
Adrenal Gland,ACC,DNAJB14,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJB14,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJB14,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJB14,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJB14,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB2,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB2,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJB2,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJB2,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJB2,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJB2,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJB2,DNAJB1,Sig,NS
Adrenal Gland,ACC,DNAJB2,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJB2,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJB2,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB2,DNAJB14,NS,NS
Adrenal Gland,ACC,DNAJB3,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB3,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJB14,NS,NS
Adrenal Gland,ACC,DNAJB3,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJB4,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB4,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJB4,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJB4,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJB4,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJB4,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJB4,DNAJB1,Sig,NS
Adrenal Gland,ACC,DNAJB4,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJB4,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJB4,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB4,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJB4,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJB4,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJB5,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB5,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJB5,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJB5,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJB5,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJB5,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJB5,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJB5,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJB5,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJB5,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB5,DNAJB14,NS,NS
Adrenal Gland,ACC,DNAJB5,DNAJB2,Sig,NS
Adrenal Gland,ACC,DNAJB5,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJB5,DNAJB4,NS,NS
Adrenal Gland,ACC,DNAJB6,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB6,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJA4,Sig,Sig
Adrenal Gland,ACC,DNAJB6,DNAJB1,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB6,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJB2,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJB6,DNAJB4,Sig,NS
Adrenal Gland,ACC,DNAJB6,DNAJB5,Sig,NS
Adrenal Gland,ACC,DNAJB7,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB7,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB14,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB4,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB5,NS,NS
Adrenal Gland,ACC,DNAJB7,DNAJB6,NS,NS
Adrenal Gland,ACC,DNAJB8,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB8,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB14,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB4,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB5,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB6,NS,NS
Adrenal Gland,ACC,DNAJB8,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJB9,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJB9,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJB9,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJB9,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJB9,DNAJA3,Sig,Sig
Adrenal Gland,ACC,DNAJB9,DNAJA4,Sig,Sig
Adrenal Gland,ACC,DNAJB9,DNAJB1,Sig,Sig
Adrenal Gland,ACC,DNAJB9,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJB9,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJB9,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJB9,DNAJB14,Sig,Sig
Adrenal Gland,ACC,DNAJB9,DNAJB2,Sig,NS
Adrenal Gland,ACC,DNAJB9,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJB9,DNAJB4,Sig,NS
Adrenal Gland,ACC,DNAJB9,DNAJB5,Sig,NS
Adrenal Gland,ACC,DNAJB9,DNAJB6,Sig,Sig
Adrenal Gland,ACC,DNAJB9,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJB9,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC1,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC1,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJB1,NS,Sig
Adrenal Gland,ACC,DNAJC1,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJB12,Sig,Sig
Adrenal Gland,ACC,DNAJC1,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC1,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJC1,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC1,DNAJB4,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJB5,NS,NS
Adrenal Gland,ACC,DNAJC1,DNAJB6,Sig,NS
Adrenal Gland,ACC,DNAJC1,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC1,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC1,DNAJB9,Sig,NS
Adrenal Gland,ACC,DNAJC10,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC10,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC10,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC10,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJC10,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC10,DNAJB4,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJB5,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJB6,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC10,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC10,DNAJB9,Sig,NS
Adrenal Gland,ACC,DNAJC10,DNAJC1,Sig,NS
Adrenal Gland,ACC,DNAJC11,CRYAA,NS,Sig
Adrenal Gland,ACC,DNAJC11,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJC11,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC11,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJC11,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJC11,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJC11,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJC11,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJB4,Sig,Sig
Adrenal Gland,ACC,DNAJC11,DNAJB5,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJB6,Sig,NS
Adrenal Gland,ACC,DNAJC11,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJB9,NS,NS
Adrenal Gland,ACC,DNAJC11,DNAJC1,Sig,NS
Adrenal Gland,ACC,DNAJC11,DNAJC10,Sig,NS
Adrenal Gland,ACC,DNAJC12,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC12,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJC12,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJC12,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB14,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB4,Sig,NS
Adrenal Gland,ACC,DNAJC12,DNAJB5,Sig,NS
Adrenal Gland,ACC,DNAJC12,DNAJB6,Sig,NS
Adrenal Gland,ACC,DNAJC12,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC12,DNAJB9,Sig,NS
Adrenal Gland,ACC,DNAJC12,DNAJC1,Sig,NS
Adrenal Gland,ACC,DNAJC12,DNAJC10,Sig,NS
Adrenal Gland,ACC,DNAJC12,DNAJC11,NS,NS
Adrenal Gland,ACC,DNAJC13,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC13,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB4,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJB5,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB6,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJB9,NS,NS
Adrenal Gland,ACC,DNAJC13,DNAJC1,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJC10,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJC11,Sig,NS
Adrenal Gland,ACC,DNAJC13,DNAJC12,NS,NS
Adrenal Gland,ACC,DNAJC14,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC14,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB14,Sig,Sig
Adrenal Gland,ACC,DNAJC14,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB4,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJB5,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB6,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJB9,NS,Sig
Adrenal Gland,ACC,DNAJC14,DNAJC1,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJC10,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJC11,Sig,NS
Adrenal Gland,ACC,DNAJC14,DNAJC12,NS,NS
Adrenal Gland,ACC,DNAJC14,DNAJC13,Sig,NS
Adrenal Gland,ACC,DNAJC15,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC15,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJC15,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC15,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJC15,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJC15,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB4,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB5,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB6,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJB9,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJC1,Sig,NS
Adrenal Gland,ACC,DNAJC15,DNAJC10,Sig,NS
Adrenal Gland,ACC,DNAJC15,DNAJC11,Sig,NS
Adrenal Gland,ACC,DNAJC15,DNAJC12,NS,NS
Adrenal Gland,ACC,DNAJC15,DNAJC13,Sig,NS
Adrenal Gland,ACC,DNAJC15,DNAJC14,Sig,NS
Adrenal Gland,ACC,DNAJC16,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC16,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJC16,DNAJA1,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB1,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC16,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB2,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC16,DNAJB4,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB5,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB6,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC16,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC16,DNAJB9,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJC1,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJC10,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJC11,Sig,Sig
Adrenal Gland,ACC,DNAJC16,DNAJC12,NS,NS
Adrenal Gland,ACC,DNAJC16,DNAJC13,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJC14,Sig,NS
Adrenal Gland,ACC,DNAJC16,DNAJC15,NS,NS
Adrenal Gland,ACC,DNAJC17,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC17,CRYAB,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJA2,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJA3,Sig,NS
Adrenal Gland,ACC,DNAJC17,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB11,Sig,NS
Adrenal Gland,ACC,DNAJC17,DNAJB12,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB14,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB2,Sig,Sig
Adrenal Gland,ACC,DNAJC17,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB4,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB5,Sig,NS
Adrenal Gland,ACC,DNAJC17,DNAJB6,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJB9,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJC1,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJC10,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJC11,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJC12,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJC13,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJC14,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJC15,NS,NS
Adrenal Gland,ACC,DNAJC17,DNAJC16,NS,NS
Adrenal Gland,ACC,DNAJC18,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC18,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJA4,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB14,Sig,Sig
Adrenal Gland,ACC,DNAJC18,DNAJB2,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB3,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB4,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB5,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB6,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJB7,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB8,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJB9,NS,Sig
Adrenal Gland,ACC,DNAJC18,DNAJC1,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJC10,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJC11,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJC12,NS,NS
Adrenal Gland,ACC,DNAJC18,DNAJC13,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJC14,Sig,Sig
Adrenal Gland,ACC,DNAJC18,DNAJC15,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJC16,Sig,NS
Adrenal Gland,ACC,DNAJC18,DNAJC17,NS,NS
Adrenal Gland,ACC,DNAJC19,CRYAA,NS,NS
Adrenal Gland,ACC,DNAJC19,CRYAB,Sig,NS
Adrenal Gland,ACC,DNAJC19,DNAJA1,NS,NS
Adrenal Gland,ACC,DNAJC19,DNAJA2,Sig,NS
Adrenal Gland,ACC,DNAJC19,DNAJA3,NS,NS
Adrenal Gland,ACC,DNAJC19,DNAJA4,NS,NS
Adrenal Gland,ACC,DNAJC19,DNAJB1,NS,NS
Adrenal Gland,ACC,DNAJC19,DNAJB11,NS,NS
Adrenal Gland,ACC,DNAJC19,DNAJB12,Sig,NS
Adrenal Gland,ACC,DNAJC19,DNAJB13,NS,NS
Adrenal Gland,ACC,DNAJC19,DNAJB14,Sig,NS
Adrenal Gland,ACC,DNAJC19,DNAJB2,NS,NS
