Cancer,Symbol,GO,,NES,p,FDR,
COAD,HSPA12A,epithelial mesenchymal transition,,2.9237,0,0,
COAD,HSPA13,epithelial mesenchymal transition,,2.9835,0,0,
COAD,HSPA1A,epithelial mesenchymal transition,,2.4384,0,0,
COAD,HSPA1L,epithelial mesenchymal transition,,2.5248,0,0,
COAD,HSPA2,epithelial mesenchymal transition,,2.7912,0,0,
COAD,HSPA5,epithelial mesenchymal transition,,2.9494,0,0,
COAD,HSPA6,epithelial mesenchymal transition,,2.8992,0,0,
COAD,HSPB1,epithelial mesenchymal transition,,3.0719,0,0,
COAD,HSPB6,epithelial mesenchymal transition,,2.5526,0,0,
COAD,HSPB7,epithelial mesenchymal transition,,2.5847,0,0,
COAD,HYOU1,epithelial mesenchymal transition,,1.7075,0,0.0022939,
COAD,SACS,epithelial mesenchymal transition,,2.8151,0,0,
COAD,SEC63,epithelial mesenchymal transition,,2.3648,0,0,
DLBC,DNAJA2,epithelial mesenchymal transition,,2.444,0,0,
DLBC,DNAJB9,epithelial mesenchymal transition,,1.7441,0,0.0046126,
DLBC,DNAJC10,epithelial mesenchymal transition,,1.6906,0,0.009345,
DLBC,DNAJC1,epithelial mesenchymal transition,,1.8725,0,0.00051603,
DLBC,DNAJC22,epithelial mesenchymal transition,,3.0035,0,0,
DLBC,DNAJC3,epithelial mesenchymal transition,,2.2554,0,0,
DLBC,DNAJC5B,epithelial mesenchymal transition,,2.3376,0,0,
DLBC,DNAJC5,epithelial mesenchymal transition,,1.9881,0,0.00010744,
DLBC,DNAJC6,epithelial mesenchymal transition,,1.882,0,0.00060036,
DLBC,HSP90B1,epithelial mesenchymal transition,,3.2512,0,0,
DLBC,HSPA12A,epithelial mesenchymal transition,,2.3793,0,0,
DLBC,HSPA12B,epithelial mesenchymal transition,,2.9268,0,0,
DLBC,HSPA2,epithelial mesenchymal transition,,2.0961,0,0,
DLBC,HSPA4L,epithelial mesenchymal transition,,2.7521,0,0,
DLBC,HSPA5,epithelial mesenchymal transition,,2.3968,0,0,
DLBC,HSPA6,epithelial mesenchymal transition,,2.867,0,0,
DLBC,HSPA7,epithelial mesenchymal transition,,2.5134,0,0,
DLBC,HSPB11,epithelial mesenchymal transition,,1.8457,0,0.00058333,
DLBC,HSPB7,epithelial mesenchymal transition,,2.3608,0,0,
ESCA,CRYAB,epithelial mesenchymal transition,,3.0849,0,0,
ESCA,DNAJB4,epithelial mesenchymal transition,,3.0685,0,0,
ESCA,DNAJB5,epithelial mesenchymal transition,,3.3699,0,0,
ESCA,DNAJB6,epithelial mesenchymal transition,,1.9692,0,0.00041667,
ESCA,DNAJB8,epithelial mesenchymal transition,,1.763,0,0.0034564,
ESCA,DNAJB9,epithelial mesenchymal transition,,2.6013,0,0,
ESCA,DNAJC12,epithelial mesenchymal transition,,1.6658,0,0.010523,
ESCA,DNAJC13,epithelial mesenchymal transition,,1.8336,0,0.0010058,
ESCA,DNAJC18,epithelial mesenchymal transition,,2.4141,0,0,
ESCA,DNAJC21,epithelial mesenchymal transition,,2.1473,0,0,
ESCA,DNAJC24,epithelial mesenchymal transition,,1.8614,0,0.0011187,
ESCA,DNAJC5B,epithelial mesenchymal transition,,1.9139,0,6.12E-05,
ESCA,HSP90AA1,epithelial mesenchymal transition,,1.8155,0,0.0005997,
ESCA,HSPA12A,epithelial mesenchymal transition,,3.3828,0,0,
ESCA,HSPA12B,epithelial mesenchymal transition,,2.4687,0,0,
ESCA,HSPA13,epithelial mesenchymal transition,,3.1523,0,0,
ESCA,HSPA2,epithelial mesenchymal transition,,2.9208,0,0,
ESCA,HSPA6,epithelial mesenchymal transition,,3.0058,0,0,
ESCA,HSPA7,epithelial mesenchymal transition,,3.0859,0,0,
ESCA,HSPB1,epithelial mesenchymal transition,,1.6642,0,0.0062743,
ESCA,HSPB2,epithelial mesenchymal transition,,2.9575,0,0,
ESCA,HSPB3,epithelial mesenchymal transition,,2.8764,0,0,
ESCA,HSPB6,epithelial mesenchymal transition,,2.1088,0,0,
ESCA,HSPB7,epithelial mesenchymal transition,,3.0252,0,0,
ESCA,HSPB8,epithelial mesenchymal transition,,2.3126,0,0,
ESCA,ODF1,epithelial mesenchymal transition,,1.8175,0,0.0025267,
ESCA,SACS,epithelial mesenchymal transition,,3.1486,0,0,
GBM,DNAJA4,epithelial mesenchymal transition,,1.7395,0,0.0017801,
GBM,DNAJB11,epithelial mesenchymal transition,,3.0259,0,0,
GBM,DNAJB12,epithelial mesenchymal transition,,2.0623,0,0,
GBM,DNAJB14,epithelial mesenchymal transition,,1.8297,0,0.00066237,
GBM,DNAJB1,epithelial mesenchymal transition,,2.5644,0,0,
GBM,DNAJB6,epithelial mesenchymal transition,,1.8543,0,0.00048521,
GBM,DNAJB9,epithelial mesenchymal transition,,1.8845,0,0.00021774,
GBM,DNAJC10,epithelial mesenchymal transition,,2.4899,0,0,
GBM,DNAJC13,epithelial mesenchymal transition,,1.908,0,0.0012212,
GBM,DNAJC17,epithelial mesenchymal transition,,2.1651,0,0,
GBM,DNAJC1,epithelial mesenchymal transition,,1.9758,0,0.00023823,
GBM,DNAJC21,epithelial mesenchymal transition,,2.5489,0,0,
GBM,DNAJC22,epithelial mesenchymal transition,,2.3124,0,0,
GBM,DNAJC25,epithelial mesenchymal transition,,2.1468,0,0,
GBM,DNAJC2,epithelial mesenchymal transition,,1.61,0,0.0097089,
GBM,DNAJC3,epithelial mesenchymal transition,,3.5076,0,0,
GBM,HSP90B1,epithelial mesenchymal transition,,3.6616,0,0,
GBM,HSPA1A,epithelial mesenchymal transition,,2.1819,0,0,
GBM,HSPA1B,epithelial mesenchymal transition,,2.1042,0,0,
GBM,HSPA4,epithelial mesenchymal transition,,2.7221,0,0,
GBM,HSPA5,epithelial mesenchymal transition,,3.6211,0,0,
GBM,HSPA6,epithelial mesenchymal transition,,3.1348,0,0,
GBM,HSPA7,epithelial mesenchymal transition,,3.1709,0,0,
GBM,HSPA9,epithelial mesenchymal transition,,1.6794,0,0.0072044,
GBM,HSPB1,epithelial mesenchymal transition,,3.1448,0,0,
GBM,HSPB6,epithelial mesenchymal transition,,1.9216,0,0.0013148,
GBM,HSPH1,epithelial mesenchymal transition,,2.6436,0,0,
GBM,HYOU1,epithelial mesenchymal transition,,2.2484,0,0,
GBM,SEC63,epithelial mesenchymal transition,,1.7423,0,0.0034112,
HNSC,CRYAB,epithelial mesenchymal transition,,2.9031,0,0,
HNSC,DNAJB2,epithelial mesenchymal transition,,1.861,0,0.0032039,
HNSC,DNAJB4,epithelial mesenchymal transition,,3.442,0,0,
HNSC,DNAJB5,epithelial mesenchymal transition,,3.802,0,0,
HNSC,DNAJB9,epithelial mesenchymal transition,,2.6509,0,0,
HNSC,DNAJC10,epithelial mesenchymal transition,,2.7403,0,0,
HNSC,DNAJC18,epithelial mesenchymal transition,,2.7952,0,0,
HNSC,DNAJC22,epithelial mesenchymal transition,,1.7578,0,0.0023761,
HNSC,DNAJC24,epithelial mesenchymal transition,,1.6844,0,0.009271,
HNSC,DNAJC3,epithelial mesenchymal transition,,3.0372,0,0,
HNSC,DNAJC5B,epithelial mesenchymal transition,,1.6607,0,0.0028386,
HNSC,DNAJC6,epithelial mesenchymal transition,,3.2073,0,0,
HNSC,HSP90AB1,epithelial mesenchymal transition,,1.7839,0,0.0015367,
HNSC,HSP90B1,epithelial mesenchymal transition,,2.2788,0,0,
HNSC,HSPA12A,epithelial mesenchymal transition,,3.8045,0,0,
HNSC,HSPA12B,epithelial mesenchymal transition,,2.5274,0,0,
HNSC,HSPA13,epithelial mesenchymal transition,,2.662,0,0,
HNSC,HSPA2,epithelial mesenchymal transition,,2.6767,0,0,
HNSC,HSPA5,epithelial mesenchymal transition,,3.5944,0,0,
HNSC,HSPB2,epithelial mesenchymal transition,,3.2746,0,0,
HNSC,HSPB3,epithelial mesenchymal transition,,3.5991,0,0,
HNSC,HSPB6,epithelial mesenchymal transition,,2.6887,0,0,
HNSC,HSPB7,epithelial mesenchymal transition,,3.4496,0,0,
HNSC,HSPB8,epithelial mesenchymal transition,,2.1619,0,0.00022667,
HNSC,HSPH1,epithelial mesenchymal transition,,2.0497,0,0.001625,
HNSC,HYOU1,epithelial mesenchymal transition,,3.0983,0,0,
HNSC,SACS,epithelial mesenchymal transition,,2.9424,0,0,
HNSC,SEC63,epithelial mesenchymal transition,,2.7144,0,0,
KICH,CRYAA,epithelial mesenchymal transition,,2.0544,0,0,
KICH,DNAJB11,epithelial mesenchymal transition,,2.113,0,0,
KICH,DNAJB3,epithelial mesenchymal transition,,2.0634,0,7.00E-04,
KICH,DNAJB4,epithelial mesenchymal transition,,2.5429,0,0,
KICH,DNAJB5,epithelial mesenchymal transition,,2.3537,0,0,
KICH,DNAJB7,epithelial mesenchymal transition,,2.0057,0,0.00081818,
KICH,DNAJC10,epithelial mesenchymal transition,,1.8992,0,0.00039394,
KICH,DNAJC18,epithelial mesenchymal transition,,1.7486,0,0.0026874,
KICH,DNAJC22,epithelial mesenchymal transition,,2.8959,0,0,
KICH,DNAJC2,epithelial mesenchymal transition,,1.6685,0,0.0050813,
KICH,DNAJC5B,epithelial mesenchymal transition,,2.2784,0,0,
KICH,DNAJC7,epithelial mesenchymal transition,,1.7332,0,0.0034952,
KICH,DNAJC8,epithelial mesenchymal transition,,2.1585,0,0,
KICH,HSPA1A,epithelial mesenchymal transition,,2.5609,0,0,
KICH,HSPA1B,epithelial mesenchymal transition,,2.5599,0,0,
KICH,HSPA6,epithelial mesenchymal transition,,2.7026,0,0,
KICH,HSPA7,epithelial mesenchymal transition,,2.066,0,0,
KICH,HSPB3,epithelial mesenchymal transition,,2.5392,0,0,
KICH,HSPB6,epithelial mesenchymal transition,,2.7025,0,0,
KICH,ODF1,epithelial mesenchymal transition,,2.448,0,0,
KICH,SACS,epithelial mesenchymal transition,,2.2846,0,0,
KIRC,CRYAA,epithelial mesenchymal transition,,1.7247,0,0.0018337,
KIRC,DNAJB11,epithelial mesenchymal transition,,2.2878,0,0,
KIRC,DNAJB13,epithelial mesenchymal transition,,2.142,0,0,
KIRC,DNAJB4,epithelial mesenchymal transition,,1.6933,0,0.0025452,
KIRC,DNAJB5,epithelial mesenchymal transition,,2.8168,0,0,
KIRC,DNAJB6,epithelial mesenchymal transition,,2.9367,0,0,
KIRC,DNAJC10,epithelial mesenchymal transition,,2.278,0,0,
KIRC,DNAJC12,epithelial mesenchymal transition,,2.3535,0,0,
KIRC,DNAJC8,epithelial mesenchymal transition,,1.7453,0,0.0034443,
KIRC,HSP90B1,epithelial mesenchymal transition,,2.7939,0,0,
KIRC,HSPA12B,epithelial mesenchymal transition,,1.8281,0,0.00045341,
KIRC,HSPA13,epithelial mesenchymal transition,,2.1689,0,0,
KIRC,HSPA2,epithelial mesenchymal transition,,3.4193,0,0,
KIRC,HSPA5,epithelial mesenchymal transition,,2.4985,0,0,
KIRC,HSPB2,epithelial mesenchymal transition,,1.9672,0,0,
KIRC,HSPB3,epithelial mesenchymal transition,,2.8257,0,0,
KIRC,HSPB6,epithelial mesenchymal transition,,3.1639,0,0,
KIRC,HSPB7,epithelial mesenchymal transition,,2.5548,0,0,
KIRC,HSPH1,epithelial mesenchymal transition,,1.8558,0,0.0001372,
KIRC,HYOU1,epithelial mesenchymal transition,,2.2807,0,0,
KIRC,SACS,epithelial mesenchymal transition,,1.937,0,0,
KIRC,SEC63,epithelial mesenchymal transition,,1.7185,0,0.0025108,
KIRP,CRYAA,epithelial mesenchymal transition,,1.7182,0,0.0014498,
KIRP,DNAJB11,epithelial mesenchymal transition,,1.6863,0,0.001967,
KIRP,DNAJB1,epithelial mesenchymal transition,,1.8,0,0.0003896,
KIRP,DNAJB4,epithelial mesenchymal transition,,1.8528,0,0.00083215,
KIRP,DNAJC10,epithelial mesenchymal transition,,2.0692,0,0.00015041,
KIRP,DNAJC12,epithelial mesenchymal transition,,1.7272,0,0.0014137,
KIRP,DNAJC3,epithelial mesenchymal transition,,2.0316,0,0.00022436,
KIRP,DNAJC5B,epithelial mesenchymal transition,,2.3034,0,0,
KIRP,HSP90AB1,epithelial mesenchymal transition,,2.0086,0,0.00011538,
KIRP,HSP90B1,epithelial mesenchymal transition,,2.9768,0,0,
KIRP,HSPA12A,epithelial mesenchymal transition,,2.5286,0,0,
KIRP,HSPA12B,epithelial mesenchymal transition,,2.4189,0,0,
KIRP,HSPA13,epithelial mesenchymal transition,,1.9653,0,0.00039023,
KIRP,HSPA2,epithelial mesenchymal transition,,2.2958,0,0,
KIRP,HSPA5,epithelial mesenchymal transition,,2.6579,0,0,
KIRP,HSPB3,epithelial mesenchymal transition,,2.5045,0,0,
KIRP,HSPB6,epithelial mesenchymal transition,,2.967,0,0,
KIRP,HSPB7,epithelial mesenchymal transition,,2.3859,0,0,
KIRP,HYOU1,epithelial mesenchymal transition,,2.5452,0,0,
KIRP,SEC63,epithelial mesenchymal transition,,1.94,0,0.00030357,
LGG,DNAJB11,epithelial mesenchymal transition,,2.1269,0,0,
LGG,DNAJB1,epithelial mesenchymal transition,,2.6452,0,0,
LGG,DNAJB4,epithelial mesenchymal transition,,1.6666,0,0.0034908,
LGG,DNAJB6,epithelial mesenchymal transition,,1.873,0,0.00097778,
LGG,DNAJC10,epithelial mesenchymal transition,,2.375,0,0,
LGG,DNAJC14,epithelial mesenchymal transition,,1.8636,0,0.00067689,
LGG,DNAJC15,epithelial mesenchymal transition,,2.5146,0,0,
LGG,DNAJC1,epithelial mesenchymal transition,,2.548,0,0,
LGG,DNAJC21,epithelial mesenchymal transition,,2.4261,0,0,
LGG,DNAJC22,epithelial mesenchymal transition,,2.4922,0,0,
LGG,DNAJC25,epithelial mesenchymal transition,,2.014,0,0,
LGG,DNAJC2,epithelial mesenchymal transition,,1.8275,0,0.00048831,
LGG,DNAJC3,epithelial mesenchymal transition,,2.828,0,0,
LGG,HSP90AA1,epithelial mesenchymal transition,,1.6302,0,0.0087549,
LGG,HSP90B1,epithelial mesenchymal transition,,2.7362,0,0,
LGG,HSPA1A,epithelial mesenchymal transition,,2.2387,0,0,
LGG,HSPA1B,epithelial mesenchymal transition,,2.3354,0,0,
LGG,HSPA4,epithelial mesenchymal transition,,2.1518,0,0,
LGG,HSPA5,epithelial mesenchymal transition,,2.8164,0,0,
LGG,HSPA6,epithelial mesenchymal transition,,2.4182,0,0,
LGG,HSPA7,epithelial mesenchymal transition,,2.4588,0,0,
LGG,HSPB11,epithelial mesenchymal transition,,1.9425,0,0.00023256,
LGG,HSPB1,epithelial mesenchymal transition,,2.4139,0,0,
LGG,HSPB6,epithelial mesenchymal transition,,2.3865,0,0,
LGG,HSPB7,epithelial mesenchymal transition,,2.1557,0,0,
LGG,HYOU1,epithelial mesenchymal transition,,2.1926,0,0,
LIHC,CRYAB,epithelial mesenchymal transition,,2.7615,0,0,
LIHC,DNAJA4,epithelial mesenchymal transition,,2.2638,0,0,
LIHC,DNAJB14,epithelial mesenchymal transition,,1.8936,0,0,
LIHC,DNAJB4,epithelial mesenchymal transition,,1.9732,0,0,
LIHC,DNAJB5,epithelial mesenchymal transition,,2.5909,0,0,
LIHC,DNAJB6,epithelial mesenchymal transition,,2.0856,0,0,
LIHC,DNAJC10,epithelial mesenchymal transition,,1.8042,0,0.00018229,
LIHC,DNAJC18,epithelial mesenchymal transition,,2.2671,0,0,
LIHC,DNAJC27,epithelial mesenchymal transition,,1.8909,0,0,
LIHC,DNAJC5B,epithelial mesenchymal transition,,2.3361,0,0,
LIHC,HSPA12A,epithelial mesenchymal transition,,2.4182,0,0,
LIHC,HSPA12B,epithelial mesenchymal transition,,3.0058,0,0,
LIHC,HSPA2,epithelial mesenchymal transition,,2.4704,0,0,
LIHC,HSPA4L,epithelial mesenchymal transition,,1.6692,0,0.0043715,
LIHC,HSPA7,epithelial mesenchymal transition,,1.9414,0,0,
LIHC,HSPA8,epithelial mesenchymal transition,,2.6302,0,0,
LIHC,HSPB2,epithelial mesenchymal transition,,2.6658,0,0,
LIHC,HSPB3,epithelial mesenchymal transition,,2.4165,0,0,
LIHC,HSPB6,epithelial mesenchymal transition,,2.9984,0,0,
LIHC,HSPB7,epithelial mesenchymal transition,,2.379,0,0,
LIHC,HSPB8,epithelial mesenchymal transition,,2.6403,0,0,
LIHC,HSPH1,epithelial mesenchymal transition,,1.7802,0,0.00078367,
LIHC,SACS,epithelial mesenchymal transition,,1.7242,0,0.00085807,
LUAD,CRYAB,epithelial mesenchymal transition,,3.2854,0,0,
LUAD,DNAJB14,epithelial mesenchymal transition,,2.0435,0,0.00036667,
LUAD,DNAJB1,epithelial mesenchymal transition,,2.146,0,0,
LUAD,DNAJB4,epithelial mesenchymal transition,,3.1497,0,0,
LUAD,DNAJB5,epithelial mesenchymal transition,,3.4649,0,0,
LUAD,DNAJB6,epithelial mesenchymal transition,,2.6505,0,0,
LUAD,DNAJB9,epithelial mesenchymal transition,,2.3726,0,0,
LUAD,DNAJC13,epithelial mesenchymal transition,,2.3276,0,0,
